Description,IncidentNum,Location,Agency,Date
ASSAULT-AGGRAVATED,201702105,800 BLOCK HARDY DR,Charlottesville Police,1-21-2017 6:48 AM
MOTOR VEHICLE THEFT/STOLEN AUTO,201701997,300 BLOCK 15TH ST NW,Charlottesville Police,1-20-2017 9:58 AM
ASSAULT-SIMPLE,201701896,1000 BLOCK CHERRY AVE,Charlottesville Police,1-19-2017 2:15 PM
LARCENY-THEFT FROM MOTOR VEHICLE,201701718,700 BLOCK NALLE STREET,Charlottesville Police,1-18-2017 9:57 AM
ASSAULT-SIMPLE,201701480,300 BLOCK 15TH ST NW,Charlottesville Police,1-16-2017 2:40 AM
ASSAULT-SIMPLE,201701474,800 BLOCK W MAIN ST,Charlottesville Police,1-15-2017 11:17 PM
MOTOR VEHICLE THEFT/STOLEN AUTO,201701261,1100 BLOCK JOHN ST,Charlottesville Police,1-13-2017 5:37 PM
ASSAULT-SIMPLE,201701098,1000 BLOCK CHERRY AVE,Charlottesville Police,1-12-2017 9:15 AM
LARCENY-THEFT FROM MOTOR VEHICLE,201700903,1200 BLOCK WERTLAND ST,Charlottesville Police,1-10-2017 11:22 AM
LARCENY-ALL OTHER LARCENY,201700898,900 BLOCK W MAIN ST,Charlottesville Police,1-10-2017 10:32 AM
ASSAULT-SIMPLE,201701000,1000 BLOCK CHERRY AVE,Charlottesville Police,1-9-2017 11:00 AM
ASSAULT-SIMPLE,201700784,1000 BLOCK CHERRY AVE,Charlottesville Police,1-9-2017 4:15 AM
LARCENY-ALL OTHER LARCENY,201700741,900 BLOCK W MAIN ST,Charlottesville Police,1-8-2017 3:41 PM
ASSAULT-SIMPLE,201700690,900 BLOCK ANDERSON ST,Charlottesville Police,1-7-2017 3:30 PM
LARCENY-THEFT FROM BUILDING,201700606,800 BLOCK CHERRY AVE,Charlottesville Police,1-6-2017 10:37 PM
ASSAULT-INTIMIDATION,201700621,1500 BLOCK GRADY AVE,Charlottesville Police,1-6-2017 9:10 PM
LARCENY-THEFT FROM MOTOR VEHICLE,201700599,800 BLOCK KING ST,Charlottesville Police,1-6-2017 6:13 PM
ASSAULT-SIMPLE,201700333,500 BLOCK 12TH ST NW,Charlottesville Police,1-4-2017 3:37 PM
VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201700311,500 BLOCK 11TH ST NW,Charlottesville Police,1-4-2017 9:20 AM
LARCENY-THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,201700253,800 BLOCK W MAIN ST,Charlottesville Police,1-3-2017 6:37 PM
VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201700253,800 BLOCK W MAIN ST,Charlottesville Police,1-3-2017 6:37 PM
MOTOR VEHICLE THEFT/STOLEN AUTO,201700168,600 BLOCK 14TH ST NW,Charlottesville Police,1-2-2017 6:00 PM
LARCENY-THEFT FROM BUILDING,201700146,100 BLOCK 14TH ST NW,Charlottesville Police,1-2-2017 10:30 AM
LARCENY-ALL OTHER LARCENY,201700143,800 BLOCK HARDY DR,Charlottesville Police,1-2-2017 10:20 AM
ASSAULT-SIMPLE,201700079,1500 BLOCK GRADY AVE,Charlottesville Police,1-1-2017 6:05 PM
ASSAULT-SIMPLE,201700100,1500 BLOCK GRADY AVE,Charlottesville Police,1-1-2017 5:00 PM
ASSAULT-SIMPLE,201700030,100 BLOCK 14TH ST NW,Charlottesville Police,1-1-2017 3:15 AM
LARCENY-ALL OTHER LARCENY,201652745,1200 BLOCK W MAIN ST,Charlottesville Police,12-27-2016 1:39 PM
ASSAULT-SIMPLE,201652718,1300 BLOCK GROVE ST,Charlottesville Police,12-27-2016 4:40 AM
VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201652570,800 BLOCK W MAIN ST,Charlottesville Police,12-23-2016 2:00 PM
ASSAULT-AGGRAVATED,201652439,400 BLOCK 10TH ST NW,Charlottesville Police,12-23-2016 4:20 AM
